"Name","Description0","Description1","Description2","Description3","Price","Stars","Counto","Countp","Lasto"
"Телевизор LG 50UK6510","ЖК-телевизор"," 4K UHD","диагональ 49.5","Smart TV (webOS), Wi-Fi",35200,5,6,58,"Достал из коробки,повесил на стену(старое крепление подошло),включил,подключил Wi-Fi 5GHz,настроил каналы(кабельное ТВ),поднастроил звук(добавил басов),подключил клавиатуру и мышку.Итого-10 минут....."
"Телевизор LG 28MT49S-PZ","ЖК-телевизор"," 720p HD","диагональ 28","Smart TV (webOS), Wi-Fi",15680,4.5,21,28,"С наступающим Новым 2019 годом.
Буду краток, минут на сорок. Шучу. Телевизор LED LG 28MT49S-PZ черный 28"" купили на кухню в 10 квадратов. За среднюю цену по Рязани 16300 руб.
О всех его достоинствах сказали предыдущие уважаемые люди. Спасибо им за от..."
"Телевизор Polarline 32PL52TC-SM","ЖК-телевизор"," 720p HD","диагональ 32","Wi-Fi",9500,4,31,14,"Для спальни небольшой отличный телек, сомневался что hd разрешение будет не очень, но на деле на расстоянии 1,5 метра смотреть очень комфортно..."
"Телевизор LG 24TK410V-PZ","ЖК-телевизор"," 720p HD","диагональ 23.6","HDMI, USB, DVB-T2",10100,4.5,2,30,"Для кухни отличный вариант. Громкости достаточно, у нас она на 15 единицах. Низких частот маловато, но это же для кухни! Изображение хорошее, пикселей не видно. Что ещё надо?!)..."
"Телевизор Olto 3220R","ЖК-телевизор"," 720p HD","диагональ 32","HDMI x3, USB, DVB-T2",8420,5,8,20,"Шикарная матрица. Цвета очень сочные, чёрный без засветов, почти как на OLED и углы обзора максимально возможные со всех сторон. Звук не противный точно, но не как здесь писали. Меню и переключение каналов моментальное. Внешний жёсткий диск определяе..."
"Телевизор Samsung QE49Q6FNA","ЖК-телевизор"," QLED","диагональ 48.5","Smart TV (Tizen), Wi-Fi",56250,4.5,18,71,"Яркий экран
Хороший внешний вид узкие рамки
Система не тормозит
Внутренний плеер воспроизводит 4К HDR
Без внешнего блока все в одном корпусе
Матрица быстрая тормозов не заметил.
Видео сервисы не тормозят, интернет подключение кабель.
Теле каналы «ful..."
"Телевизор Polarline 40PL51TC","ЖК-телевизор"," 1080p Full HD","диагональ 40","HDMI x3, USB x2, DVB-T2",11834,4.5,20,10,"Интуитивное меню настройки. Поймал все цифровые каналы на Кабельном ТВ..."
"Телевизор Samsung UE43N5510AU","ЖК-телевизор"," 1080p Full HD","диагональ 42.5","Smart TV, Wi-Fi",24900,4.5,6,80,"Цена, брал за 27 700 в ноунейм онлайн магазине (с норм отзывами на яндекс маркете). Нет идиотского звука при включении и выключении тв и само вкл/выкл сопровождается красивой анимацией. Есть двухдиапазонный Wi Fi. Хорошо что есть смарт функции, но о ..."
"Телевизор LG 49LK5910","ЖК-телевизор"," 1080p Full HD","диагональ 48.5","Smart TV (webOS), Wi-Fi",27300,5,2,62,NA
"Телевизор Samsung T24H390SI","ЖК-телевизор"," 1080p Full HD","диагональ 23.6","Smart TV (Tizen), Wi-Fi",13990,4.5,42,14,"Хороший телек, картинка яркая, звук не очень громкий, но на кухню вполне достаточно. Вай фай ловит хорошо. Порадовало быстрое включение, автозапуск последнего приложения из смарт тв (на старой модели самсунга такой функции нет, а жаль). ..."
"Телевизор LG 55UK6710","ЖК-телевизор"," 4K UHD","диагональ 54.6","Smart TV (webOS), Wi-Fi",46150,5,4,56,"Не тормозит от слова совсем. Включается моментально. Хороший звук, присутствуют низы. Алюминиевый корпус, смотрится куда лучше пластика.
Ютуб работает отлично. Можно смотреть фильмы онлайн через штатный браузер.  Пульт со встроенным акселерометром. (..."
"Телевизор Samsung UE32M5500AU","ЖК-телевизор"," 1080p Full HD","диагональ 31.5","Smart TV (Tizen), Wi-Fi",22650,4.5,43,31,"Великолепное качество картинки, прекрасный звук...."
"Телевизор LG 32LK500B","ЖК-телевизор"," 720p HD","диагональ 31.5","HDMI x2, USB, DVB-T2",13200,5,1,65,NA
"Телевизор LG 32LK6190","ЖК-телевизор"," 1080p Full HD","диагональ 31.5","Smart TV (webOS), Wi-Fi",19990,4.5,21,67,"Довольно громкий звук, но не хватает басов
Смотреться очень стильно
Хорошие сочные цвета, но только после часовой настройки
Довольно быстрый SmartTV, правда не андроидовский и количество приложений ограничено
Нет проблем при работе с wi-fi..."
"Телевизор LG 27TK600V-WZ","ЖК-телевизор"," 1080p Full HD","диагональ 27","HDMI, USB, DVB-T2",14250,4.5,3,43,"Интересный внешний вид, сочетание серой рамки и белого корпуса.
Диагональ 27 для кухни отлично подошла.
Full HD.
Звук...."
"Телевизор LG 49UK6300","ЖК-телевизор"," 4K UHD","диагональ 48.5","Smart TV (webOS), Wi-Fi",29200,4.5,13,65,"Отличный ТВ! Яркая, четкая картинка, чистый звук, и САМОЕ ГЛАВНОЕ: смарт летает!..."
"Телевизор LG 60UK6200","ЖК-телевизор"," 4K UHD","диагональ 59.5","Smart TV (webOS), Wi-Fi",45800,4.5,10,30,"Картинка, звук,  диагональ, функционал, цена (поясню в комментах..."
"Телевизор LG 43LK5910","ЖК-телевизор"," 1080p Full HD","диагональ 42.5","Smart TV (webOS), Wi-Fi",21900,4.5,15,63,"Классный софт! Действительно годная операционная система, с удобным интерфейсом, хорошим функционалом и набором приложений (даже Кинопоиск появился, спасибо Яндекс)!
Мультизадачность: приложение с цифровыми каналами работает в фоне, пока я копаюсь в ..."
"Телевизор LG 43UK6710","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (webOS), Wi-Fi",29900,4.5,13,58,"Картинка, звук, webOS, устойчивая подставка, пульт magic в комплекте. ..."
"Телевизор Sony KDL-32WD756","ЖК-телевизор"," 1080p Full HD","диагональ 31.5","Smart TV (Linux), Wi-Fi",26350,4.5,48,54,"Изображение превосходное! Не зря хвалят! И цифровые и аналоговые каналы смотрятся очень прилично. Переключаются быстро. Смарт тоже понравился, приложений много, работает шустро (по витой паре, WiFi не пробовал). Внешний вид приятный. Включается быстр..."
"Телевизор LG 43UK6750","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (webOS), Wi-Fi",30350,5,3,22,"Качество сборки
Апскейлер прилично увеличивает контент низкого разрешения
Цветопередача (но надо настраивать. Из коробки желтит)

..."
"Телевизор LG OLED55B8","OLED-телевизор"," 4K UHD","диагональ 54.6","Smart TV (webOS), Wi-Fi",72290,4.5,37,88,"Качество изображения. Удобное управление. Отзывчивый интерфейс. Очень крутые смарт функции - браузер, различные приложения для просмотра тв и фильмов онлайн. Може теперь отказываеться от билайнТВ...."
"Телевизор LG 43LJ510V","ЖК-телевизор"," 1080p Full HD","диагональ 43","HDMI x2, USB, DVB-T2",19690,4.5,19,66,"Очень натуральные цвета на экране, прекрасный звук, впервые весьма продуманный пульт..."
"Телевизор Samsung UE43NU7100U","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (Tizen), Wi-Fi",27450,4.5,12,68,"Высокий контраст, шустрый YouTube, наличие HDR, удобство просмотра видео по сети (DLNA), поддержка кодеков HEVC и VP9...."
"Телевизор Xiaomi Mi TV 4A 43","ЖК-телевизор"," 1080p Full HD","диагональ 42.5","Smart TV, Wi-Fi",24200,4.5,5,9,"Множество: от внешнего вида, до качества изображения и цены...."
"Телевизор LG 43UK6390","ЖК-телевизор"," 4K UHD","диагональ 42.5","Smart TV (webOS), Wi-Fi",25740,4.5,12,69,"Работает без глюков. Хорой звук и изображение. сказочное подключение bt наушников, включаешь наушники и телевизор предлагает их подключить самостоятельно. Ip tv через ss...."
